student_id,tests_passed,tests_total,score_percentage,semantic_summary,code_snippet
B25DS024_Q9,0,7,0.00,"Ensure all inputs to the math.acos function are within the valid range of [-1, 1] by clamping or adjusting values slightly before applying the ceiling function to avoid unexpected rounding.","import math\ndef calculate_angles(a,b,c):\n    if a+b<=c or a+c<=b or b+c<=a:\n        return None\n    angleA=(math.degrees(math.acos((b*b+c*c-a*a)/(2*b*c))))\n    angleB=(math.degrees(math.acos((c*c+a*a-b*b)/(2*a*c))))\n    angleC=(math.degrees(math.acos((a*a+b*b-c*c)/(2*a*b))))\n    \n    return(math.ceil(angleA),math.ceil(angleB),math.ceil(angleC))\n\nprint(calculate_angles(6,6,6))\n    "
b25me047_q9,0,7,0.00,"Ensure that the values passed to math.acos are clamped between -1 and 1, inclusive, to avoid domain errors.","import math\ndef calculate_angles(a,b,c):\n    if(a+b>c and c+b>a and a+c>b):\n        A=((b**2)+(c**2)-(a**2))/(2*b*c)\n        A=math.ceil(math.degrees(math.acos(A)))\n        B=((a**2)+(c**2)-(b**2))/(2*a*c)\n        B=math.ceil(math.degrees(math.acos(B)))\n        C=((b**2)+(a**2)-(c**2))/(2*b*a)\n        C=math.ceil(math.degrees(math.acos(C)))\n        tup=(A,B,C)\n        print(tup)\n    else:\n        print(""not a valid triangle"")\ncalculate_angles(12,5,13)\n\n"
B25MT027_q9,0,7,0.00,"Ensure all inputs to mathematical operations are numeric, as non-numeric types can cause unexpected errors.","import math\ndef calculate_angles(a, b, c):\n    if (a+b<c or b+c<a or c+a<b):\n        return None\n    else:\n        cos_A=(b*b+c*c-a*a)/(2*b*c)\n        cos_B=(a*a+c*c-b*b)/(2*a*c)\n        cos_C=(b*b+a*a-c*c)/(2*b*a)\n    p=math.acos(cos_A)\n    q=math.acos(cos_B)\n    r=math.acos(cos_C)\n    x=math.degrees(p)\n    y=math.degrees(q)\n    z=math.degrees(r)\n    l=math.ceil(x)\n    m=math.ceil(y)\n    n=math.ceil(z)\n    return(l,m,n)\na=int(input('Enter a number'))\nb=int(input('Enter a number'))\nc=int(input('Enter a number'))\nprint(calculate_angles(a,b,c))\n""""""\nGiven three sides a, b, c, calculates the three angles\nA, B, C of the triangle. Each angle should be rounded\nup to the next integer (’ceil’).\nReturns a tuple (angleA, angleB, angleC).\n""""""\n"
B25MM013_q9,0,7,0.00,"Ensure that all variables used in mathematical operations are numeric types, as operations between incompatible types can lead to unexpected results or errors.","#Calculate Triangle Angles\nimport math\ndef calculate_angles(a,b,c):\n    '''\n    when sides a,b,c are given we find angles A,B,C\n    '''\n    list_1=[]\n    if (a+b>c):\n        if(b+c>a):\n            if(c+a>b):\n                A=math.degrees(math.acos((b*b+c*c-a*a)/(2*b*c)))\n                B=math.degrees(math.acos((c*c+a*a-b*b)/(2*a*c)))\n                C=math.degrees(math.acos((a*a+b*b-c*c)/(2*a*b)))\n                list_1.append(A)\n                list_1.append(B)\n                list_1.append(C)\n#As math.ceil is not giving correct numbers:\n                list_2=[]\n                for k in list_1:\n                    i=int(k)  #integer part of angle\n                    d=(k-i)*10\n                    d1=int(d) #these 2 steps give 1st digit after decimal in angle\n                    if(d1<5):\n                        list_2.append(i)\n                    else:\n                        list_2.append(i+1)\n                return list_2\n                \n                \n                \n            else:\n                return None\n        else:\n            return None\n    else:\n        return None\n\nprint(calculate_angles(3,4,5))\nprint(calculate_angles(3,3,3))\nprint(calculate_angles(1,1,3))\n    "
B25EE023_Q9,0,7,0.00,"Ensure that the inputs `a`, `b`, and `c` are numeric types before performing calculations, as the operation expects numerical values.","import math\na = int(input(""a:""))\nb = int(input(""b:""))\nc = int(input(""c:""))\nif (a+b>c)and (b+c>a) and (c+a>b) :\n    print(""Triangle is possible"")\n\n\n    def calculate_angles(a,b,c):\n        A = math.degrees(math.acos((b**2 + c**2 - a**2) / (2 * b * c)))\n        B = math.degrees(math.acos((a**2 + c**2 - b**2) / (2 * a * c)))\n        C = math.degrees(math.acos((a**2 + b**2 - c**2) / (2 * a * b)))\n        return A, B, C\n        \n    A, B, C = calculate_angles(a, b, c)\n    P = math.ceil(A)\n    Q= math.ceil(B)\n    R = math.ceil(C)\n    \n    print(f'Angles of the triangle are: P={P:}°, Q={Q:}°, R={R:}°')\n\nelse:\n    print(""construction of triangle is not possible"")"
B25EC006_q9,0,7,0.00,"Ensure that k1, k2, and k3 are properly defined before using them in the acos function to avoid undefined variable errors.","import math\n\ndef calculate_angles(a,b,c):\n    \n    """"""\n     Given three sides a, b, c, calculates the three angles\n     A, B, C of the triangle. Each angle should be rounded\n     up to the next integer by (""round"").\n     Returns a tuple (angleA, angleB, angleC).\n     """"""\n    \n    if not((a+b>c) and (b+c>a) and (c+a>b)):\n        return None\n    \n    ### a**2 = b**2 +C**2 - 2*b*c*cos(A)\n    \n    cos_A = (b**2 +c**2 - a**2)/(2*b*c)  #cos(A)\n    cos_B = (c**2 +a**2 - b**2)/(2*c*a)  #cos(B)\n    cos_C = (a**2 +b**2 - c**2)/(2*a*b)  #cos(C)\n    \n    A= math.acos(k1)\n    B= math.acos(k2)\n    C= math.acos(k3)\n    \n    A= round(math.degrees(A))\n    B= round(math.degrees(B))\n    C= round(math.degrees(C))\n    \n    angles= (A,B,C)\n    print(""(angleA, angleB, angleC) = "",end="""")\n    return angles\n\na= int(input(""Enter side 'a' :""))\nb= int(input(""Enter side 'b' :""))\nc= int(input(""Enter side 'c' :""))\n\nprint(calculate_angles(a,b,c))\n"
B25CS021_q9,0,7,0.00,"Ensure that the inputs to math.acos are numerical and within the valid range of [-1, 1] to avoid type errors.","import math\n\ndef find_angle(x,y,z):\n    return (y**2 + z**2 - x**2)/(2*y*z)\n\ndef check_if_triangle(x,y,z):\n    lst = [x, y, z]\n    lst.sort()\n    if lst[0] == 0 or lst[0] + lst[1] <= lst[2]:\n        return False\n    return True\n\ndef calculate_angles(a,b,c):\n    if not check_if_triangle(a,b,c):\n        return None\n    A=math.ceil(math.degrees(math.acos(find_angle(a,b,c))))\n    B=math.ceil(math.degrees(math.acos(find_angle(b,a,c))))\n    C=math.ceil(math.degrees(math.acos(find_angle(c,a,b))))\n    return A,B,C\n\nt=int(input())\nu=int(input())\ni=int(input())\nans=calculate_angles(t,u,i)\nprint(ans)\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n"
B25EC007_q9,6,7,85.71,"Ensure that all inputs to the math functions are numeric, as non-numeric values can lead to type mismatch errors.","\nimport math\n\ndef calculate_angles(a, b, c):\n   \n\n    \n    if a + b <= c or a + c <= b or b + c <= a:\n        return None\n\n    \n    A = math.degrees(math.acos((b*b + c*c - a*a) / (2*b*c)))\n    B = math.degrees(math.acos((a*a + c*c - b*b) / (2*a*c)))\n    C = math.degrees(math.acos((a*a + b*b - c*c) / (2*a*b)))\n\n    \n    A = math.ceil(round(A, 10))\n    B = math.ceil(round(B, 10))\n    C = math.ceil(round(C, 10))\n\n    return (A, B, C)\n\n\n"
B25ME014_q9,0,7,0.00,"Ensure all inputs are integers before performing calculations, as the code expects numerical values but receives strings from input().","import math\n\na = int(input(""Enter value of a: ""))\nb = int(input(""Enter value of b: ""))\nc = int(input(""Enter value of c: ""))\n\nif (a + b > c) and (b + c > a) and (c + a > b):\n    angleA_rad = math.acos((b**2 + c**2 - a**2) / (2 * b * c))\n    angleB_rad = math.acos((a**2 + c**2 - b**2) / (2 * a * c))\n    angleC_rad = math.acos((a**2 + b**2 - c**2) / (2 * a * b))\n\n    angleA_deg = round(math.degrees(angleA_rad))\n    angleB_deg = round(math.degrees(angleB_rad))\n    angleC_deg = round(math.degrees(angleC_rad))\n\n    print(""Angles in degrees:"")\n    print(f""A = {angleA_deg}°"")\n    print(f""B = {angleB_deg}°"")\n    print(f""C = {angleC_deg}°"")\nelse:\n    print(""Error: Not a valid triangle"")"
B25EC042_Q9,0,7,0.00,"Ensure that all inputs to math.acos are within the valid range of [-1, 1] to avoid domain errors.","import math\ndef calculate_angles(a,b,c):\n    if a+b>c:\n        A=math.degrees(math.acos((b**2+c**2-a**2)/(2*b*c)))\n        B=math.degrees(math.acos((a**2+c**2-b**2)/(2*a*c)))\n        C=math.degrees(math.acos((b**2+a**2-c**2)/(2*b*c)))\n        print(math.ceil(A),math.ceil(B),math.ceil(C))\n    else:\n        print(""none (not a valid triangle)"")\n                                 \n                                 \n                                 \ncalculate_angles(3,4,5)\ncalculate_angles(3,3,3)\ncalculate_angles(1,1,3)"
