id,qno,file_base,pass_pct,tests_passed,tests_total,source_csv,original_filename,question_folder
b25ds027_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds021_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds024_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25cs046_q1,1,3,50.0,3.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,3,q1
b25ds039_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25me032_q1,1,2,33.33,2.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,2,q1
b25mt003_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee030-q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me001_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mm001_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee022_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
s25ma014_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25me047_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25cs049_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25mm013_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee044_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee004_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ds036_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds006_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25cs042_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds012_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25mm028_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me037_q1,1,3,50.0,3.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,3,q1
s25ma018_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25cs060_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ec024_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee019_q1,1,1,16.67,1.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,1,q1
b25mm027_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ec033_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee017_q01,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ec045_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ec026_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ec022_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25cs056_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee055_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee045_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee051_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ds040_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mm002_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me033_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25cs011_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mm006_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mt030_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me056_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee003_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mt007_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ee037_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ds011_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
s25ma002_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ds028_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ec034_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
